Id	state_str	state_int	character	str_1											
0	say	1	0	공식적인 사도 선정이 끝난지 일주일이 지났다.											
1	say	1	0	나는 그동안 집회소에서 지내며, 사도로서의 생활에 익숙해지기 위해 노력하고 있다.											
2	say	1	루시아	(내가 바로 사도라는 사실에 익숙해지는 것부터가 문제지만⋯ 사실 실감이 잘 나지는 않는다.)											
3	say	1	0	사도. 신의 계시를 받아 인류의 땅을 지킬 새로운 삶과 사명을 부여받은 자들.											
4	say	1	0	250년 전 강림해 인류를 구한 에녹부터 현재에 이르기까지, 여러 시대에 걸쳐 사도가 존재했다. 그들은 어디선가 홀연히 자격을 부여받는다.											
5	say	1	0	가장 비천한 자에서 고귀한 자에 이르기까지, 사도 선정에는 특정한 기준이 없다. 그들의 자격은 인세의 것이 아니다. 오직 계시가 내릴 때 그를 둘러싼 빛의 고리와 천지를 흔드는 뿔나팔 소리만이 그들의 사도됨에 날인한다.											
6	say	1	0	그들은 그로부터 육체의 불로와 신의 힘을 행사할 자격을 얻는다. 간혹 청년기가 아닌 자가 사도가 되는 경우, 불로는 합리적인 선물처럼 그가 자랄 때까지 유예된다.											
7	say	1	0	그들이 얻은 신의 힘은 말로써 세상의 법칙을 바꾸는 것이다. 사도는 구어로 천지를 흔들 벼락을 내리거나 바람의 방향을 바꾸고, 허공에서 사물을 창조한다.											
8	say	1	0	사람들은 처음 사도가 나타났을 때, 아우로스가 전 벨두르를 지배하던 심판의 시대가 끝이 나고 다시 인류의 영광이 찾아오리라 믿었다. 											
9	say	1	0	그토록 강력한 힘을 가지고도 아우로스와의 지난한 전쟁이 끝나지 않은 건, 사도에게 치명적인 단점이 존재하기 때문이다. 											
10	say	1	0	사도는 수가 적다. 동시대에 한꺼번에 존재했던 사도의 수가 셋을 넘긴 적이 드물다.											
11	say	1	루시아	(그래서 더 이해가 안 돼. 현재 동시대에 존재하는 사도는 나를 포함해 총 일곱. 선정의 시대가 시작된 이래 동시대에 가장 많은 사도가 존재해. 애초에 사도가 더 나올 줄도 몰랐어.)											
12	say	1	루시아	(당연히 내가 될 일 같은 건 없을 줄 알았는데⋯.)											
13	say	1	루시아	(이래도 괜찮은 걸까? 나.)											
14	say	1	0	집회소에서의 생활은 각오가 무색하게 대단한 건 없었지만, 낯선 것들이 존재했다. 이를 테면 자유 같은 것.											
15	say	1	0	출입이나 생활 면에 있어서 정해진 규율이 있지 않았다. 헬레나는 수습 기간의 배움만 따라온다면 다른 시간은 자유롭게 지내도 좋다고 했다. 어차피 사도가 되면 바빠질 거라며 지금을 즐기라는 말과 함께.											
16	say	1	0	언제나 딱 맞춰진 생활을 해 온 탓일까? 아니면 내가 사도에게 가졌던 생각 속에선, 좀 더 체계적인 이미지가 뚜렷했기 때문일까? 											
17	say	1	0	다른 사도들은 가끔 나가는 걸 제외하면 집회소에서 자유롭게 지내는 것 같았다.											
18	say	1	루시아	(좀 더⋯ 바쁜 느낌일 줄 알았는데.) 											
19	say	1	헬레나	한가해 보인다고?											
20	say	1	루시아	네?											
21	say	1	헬레나	어머. 진짜 그렇게 생각 중이었어? 내가 맞췄네?											
22	say	1	0	헬레나가 내 앞에 찻잔을 내려 놓으며 얼굴을 살피더니 웃었다.											
23	say	1	루시아	어떻게 아셨어요?											
24	say	1	헬레나	레오가 이맘때쯤 '생각보다 한가해 보이시네요?' 라고 했었거든. 음, 얼마 지나지도 않았는데 벌써 아련한 추억처럼 느껴지네. 네 얼굴 보면 뻔하지!											
25	say	1	헬레나	사도가 뭔가 신비롭고, 바쁘고, 여기저기 신출귀몰 주야장천 암약하는 줄 알았는데 아니라 의아한 거 아니야?											
26	say	1	루시아	전⋯ 사실 사도가 매일 아우로스와 싸우는 줄 알았어요.											
27	say	1	헬레나	그러면 이런 수로는 못 당하지, 후후. 아무리 사도가 강해도 말이야. 											
28	say	1	헬레나	너도 사도가 되었으니 알려주는 건데, 사도의 아우로스에 대한 보통의 방침은 '인류의 영역에 들어서지 않는다면 선공하지 않는다'야.											
29	say	1	루시아	사도의 의무는 아우로스의 토벌이 아닌가요?											
30	say	1	헬레나	그래. 하지만 그보다 우선되는 건 인류의 수호야. 											
31	say	1	헬레나	우린 지금 사도가 가장 많은 시대에 살고 있지만, 이 방침이 생겼던 예전에는 더 적었지.											
32	say	1	헬레나	알고 있지? 사도는 늙지 않고, 신의 힘도 빌려 쓸 수 있지만 불사는 아니야. 한 명의 전력이 지나치게 귀중하지. 											
33	say	1	헬레나	누군가를 잃을 때마다 거대한 손실이 생겨. 없애야 할 대상을 생각하다가 지켜야 할 대상을 잃는 꼴이 돼. 빼앗긴 왕도를 되찾지 않고, 네필라임의 골짜기를 내버려두는 것도 그런 이유야.											
34	say	1	헬레나	사도는 현상 유지의 최일선이야. 일종의 전선 유지지. 그래서 섣불리 먼저 싸울 수가 없어. 자경단 같은 지역 독립적인 체계를 만드는 것도 그런 이유야. 정말 강한 개체가 나타났을 때 다른 아우로스가 습격한다면, 우리가 그것까지 지켜줄 수 없을 테니까.											
35	say	1	헬레나	물론 지금은 이례적으로 사도가 많아진 상황이니, 네가 제 몫을 하게 되면 방침을 수정해볼 수도 있겠지?											
36	say	1	헬레나	⋯뭐, 이건 이유 중 하나일 뿐이고, 실제로는 이런 저런 사정이 있어서 아마 앞으로도 바뀌기는 어렵지 않을까 생각하지만.											
37	say	1	루시아	그렇군요. 이해 됐어요.											
38	say	1	헬레나	납득이 빠르네. 다른 이유는 말하지도 않았는데.											
39	say	1	루시아	전 이제 갓 사도가 됐고, 경험도 없는 걸요. 나름의 이유가 있다면, 따를 거예요. 											
40	say	1	루시아	말씀해주시기 어렵다면 괜찮아요. 꼭 듣지 않아도.											
41	say	1	0	헬레나는 웃더니, 앞에 있던 찻잔을 들어 마셨다.											
42	say	1	헬레나	나중에⋯											
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
													아니에요.		
															
															
															
												소품 부각? 정보창			
															
															
													아니에요 로 풀어쓰기..?		
													어떤 서류들을 작성하고있을까.....		
															
															
													사도로서의 배움은....		
															
															
															
															
															
															
															
															
															
															
															
															
													용어통일.. 사도교육 사도수업 배움....?		
															
															
															
															
													최중요사기도.....> 가장 중요한 사건이기도		
															
													호칭...		
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
													~게 있어 (번역투) -> 나에게는		
													미카엘 이전 이름이 궁금...		
													동질감!		
													아니에요		
															
													미카엘의 사생활을 보장하라!! 보장하라!! 보장하라!!		
															
															
															
															
															
															
													왕가시절 지인? 아니면 사도선정후 만난 지인? 드라엔 설정 궁금		
															
															
															
															
													오려무나. / 내가 언제나 있는 건 아니겠지만.. < 이해불가		
															
															
													이유는 뭘까??		
															
															
															
															
															
															
															
													사도가 필요하면 종을 울린다 << 이걸 들을 수 있나? 마법적인 힘으로 감지가 가능한걸까		
															
															
															
													리더이다. 		
															
															
															
															
															
															
															
															
															
													어디있다고~		
													꺅!!		
															
															
															
															
															
															
															
															
															
															
													뺀질뺀질.		
															
															
													PTSD... 중소기업의 폐해......		
															
															
													빈센트 = 뺀질이 인상		
															
															
															
															
													단호박미트파이 <		
															
															
															
															
															
															
															
															
															
															
													에레모아쪽은 자경단의 기세가 강하다 = 토벌난이도 하?		
													에레모아 = 불러놓고 자기들이 해결하는쪽		
															
															
															
													어떤 표정일까... 지루해하는표정? 째려봄? 서늘한 표정?		
															
															
															
															
															
															
															
															
															
															
															
															
													스타듀밸리 일정표로 나타낸다면...		
													과로 조심...		
													귀여워!!!		
													죽은 듯 잠만 잔다 << 우울증 증상?		
															
															
															
															
															
													햇살이 유일한관객<< 표현 너무 굿. 합니다		
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
													무기의 형태라고 한 이유는? 무기의 종류라는 표현을 쓰지 않는 이유는?		
															
															
															
													의외군요.		
													헬레나의 발언이 아닌가,,,?> 헬레나가 총은...		
													아우로스를 하나... / 기존 사도중엔 검을 쓰는 사람이 많다 < 냉병기 말하는거죠..?!		
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
													배경은 어디지?		
															
															
															
															
															
													> 무슨뜻일까요		⋯
													손잡고 걷는거		
															
													회상		
															
															
															
															
															
															
															
													애= 사됴?		
															
															
															
															
															
													헬레나가 고생이 많네요		
															
															
															
															
															
															
															
															
													3번가 초록사슴거리?!		
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
													수업		
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
													치우는사람은 누굴까..		
															
															
															
															
															
